,LLC-stores,instructions,bytes,blocks,LLC-loads,LLC-load-misses,ref-cycles,cycles,LLC-store-misses,pkg_pwr,ram_pwr,power
902,72444,240474146,0,0,1323038,399816,300994449,237028115,13547,43.1,7.49,136.7
903,60965,260514371,28672,56,977176,296217,298787070,193754359,17880,43.18,7.5,136.7
904,32107,206313254,0,0,912853,438869,216153316,197845722,8123,43.27,7.49,136.7
905,53825,126951142,0,0,795843,287836,195562151,157356938,10851,43.06,7.51,136.6
906,70472,190963955,196608,384,1332786,465233,273410569,192280192,20008,43.07,7.46,136.6
907,107724,361281320,0,0,1568495,561855,395184208,361205885,26915,43.12,7.5,136.6
908,36996,170719758,0,0,834647,306339,191864147,138530250,10572,43.23,7.47,136.6
909,29745,133939881,0,0,886926,317372,193106451,151745166,9864,43.31,7.51,136.6
910,48990,125804569,0,0,642846,357043,174593863,152303956,5287,43.05,7.48,136.6
911,89767,246581888,167936,328,1248132,518680,309041451,266420080,27733,43.07,7.51,136.6
912,120380,272404403,0,0,1132800,446735,339037416,293340715,13428,43.18,7.46,136.6
913,37755,205890922,0,0,759021,339015,194113378,176803672,8071,43.31,7.52,136.5
914,46676,90922894,0,0,825739,300421,164359844,113004845,8143,43.21,7.51,136.6
915,31427,120298117,0,0,788127,362233,158598671,133512318,5747,43.04,7.47,136.6
916,73608,198042090,196608,384,1337656,462823,272779174,179368330,23476,43.01,7.48,136.6
917,96564,251902865,0,0,1457744,411009,319018997,265732708,13124,43.17,7.49,136.7
918,42715,180960736,20054016,39168,855268,312802,177465726,145810126,7849,43.01,7.51,136.6
919,104199,323149341,937984,1832,1527329,573036,324081960,263777462,28306,43.26,7.56,136.6
920,42266,136251528,0,0,758403,327575,208583279,178408317,11000,43.11,7.5,136.6
921,81348,196227315,311296,608,1277069,481726,253336239,192581817,13929,43.12,7.49,136.6
922,77959,241161730,0,0,1029890,349292,274499076,253970916,7542,43.08,7.49,136.6
923,163611,600940095,2560,5,2153987,384884,450863894,384946784,18530,42.63,7.37,136.6
924,178500,623146794,512,1,2053478,302830,514939970,408940169,11428,43.24,7.48,136.6
925,60266,226297233,0,0,1079347,405511,235737310,179344467,7714,43.15,7.5,136.6
926,30141,198809407,319488,624,1242821,376868,233408427,167759123,12239,43.1,7.47,136.5
927,66069,226660084,0,0,1015967,368853,282732006,256061248,13106,43.22,7.47,136.5
928,54251,288008769,0,0,1222633,630013,249195805,230738551,16720,43.14,7.48,136.6
929,63930,197160918,86016,168,1061220,287074,277110168,223530839,14134,43.26,7.49,136.6
930,59450,258010652,0,0,1197694,405331,253679831,235862456,21286,43.1,7.47,136.6
931,84139,264053272,311296,608,1208797,343966,323413877,293803943,22513,42.96,7.49,136.6
932,69830,359395662,200704,392,1800574,568962,369201039,242480897,22589,43.19,7.5,136.6
933,26688,106624219,0,0,869387,299075,133589827,91743053,13178,43.12,7.48,136.6
934,39320,193036647,28672,56,1149310,282910,276750305,222840545,18314,43.21,7.5,136.6
935,39793,216445097,0,0,894233,404647,213973496,203738745,6560,43.05,7.47,136.6
936,90344,317121595,167936,328,1779483,528759,395261738,277862900,23225,43.08,7.44,136.6
937,27703,131269382,0,0,1045055,383558,207531409,130295640,6649,43.28,7.52,136.6
938,42535,176487161,0,0,857499,297193,205347457,137184614,12805,43.25,7.5,136.6
939,29179,109506871,0,0,783794,197054,169733790,125187672,11006,43.29,7.52,136.6
940,23608,128731648,0,0,827833,309305,172910825,154779909,6944,43.04,7.47,136.6
941,103957,318799567,167936,328,1881938,607537,382115436,263430301,35267,42.95,7.47,136.6
942,93969,265647368,57344,112,1459698,460721,324601153,281404011,28296,43.27,7.51,136.6
943,34086,190111685,0,0,845110,361194,191030335,133952101,3178,43.29,7.53,136.7
944,25290,114819129,0,0,885735,306049,174519569,118426335,6005,43.24,7.5,136.7
945,52132,217960195,0,0,1337743,521447,253657519,226462100,15842,43.19,7.52,136.7
946,47382,152607015,167936,328,1086232,322914,204410468,150582725,17039,43.07,7.46,136.6
947,54470,243990355,0,0,1136234,371444,289506227,263836161,10103,43.22,7.48,136.7
948,47885,183604596,0,0,833554,344869,197304681,161376929,9554,43.12,7.49,136.7
949,25955,199772558,20770816,40568,1003161,360001,269244208,199211857,8563,43.23,7.51,106.0
950,83498,314926022,0,0,1306903,485461,316504643,284085979,20747,43.09,7.5,96.4
951,55455,177359482,311296,608,1142574,402334,246478362,175834588,17218,42.95,7.46,96.4
952,79994,268519997,200704,392,1548474,461768,332325461,201782501,22290,43.27,7.51,96.4
953,30130,184934842,0,0,774771,294579,194774831,142789376,6190,43.29,7.5,123.6
954,29194,71994789,0,0,828546,273195,151153207,89932250,8140,43.2,7.49,111.3
