,LLC-store-misses,instructions,ref-cycles,LLC-loads,bytes,LLC-load-misses,blocks,cycles,LLC-stores,pkg_pwr,ram_pwr,power
1521,176,147177802,183062267,927630,253952,4368,496,148922349,41118,40.36,5.41,129.0
1522,6286,206859075,223705588,1139122,0,90141,0,179695756,94407,40.25,5.23,129.0
1523,642,108433605,169292739,848543,0,15575,0,136340064,47801,39.99,5.03,129.0
1524,609,161498659,199343772,967617,0,9206,0,148497449,50674,40.06,5.01,128.9
1525,156,96734660,125964278,731121,0,3322,0,88215324,40637,40.0,4.97,128.9
1526,233,97876566,152297945,888242,139264,1260,272,104820672,45042,40.04,5.37,129.0
1527,4816,217880688,232810182,1331482,0,68820,0,191222453,81071,40.17,5.29,129.0
1528,538,136966175,156094705,990717,0,9538,0,129269644,40052,40.22,5.12,128.9
1529,143,135381681,168572907,884539,0,18632,0,142184259,37535,40.13,5.04,128.9
1530,175,93763083,139616143,769319,0,2680,0,98785103,44050,40.04,4.98,128.8
1531,105,128279042,157490736,896082,167936,1711,328,151800698,49378,40.12,5.29,128.9
1532,1369,215720503,222220286,1231180,0,97131,0,183732485,94330,40.02,5.22,128.9
1533,868,122814888,153492473,790900,0,17353,0,120412156,50925,39.94,5.03,128.9
1534,344,121140267,162013282,869460,0,10725,0,114178366,41651,40.06,5.0,128.8
1535,441,140006877,171371740,990049,0,11066,0,145962817,52679,40.09,4.94,128.8
1536,437,104527167,146412798,770361,167936,1135,328,79091311,56842,40.01,5.24,128.9
1537,4941,209618173,214770340,1216902,19099648,11861,37304,170837387,77879,39.68,5.09,128.9
1538,2713,232845058,275138905,1403662,0,41122,0,242485391,76767,39.64,4.94,129.0
1539,127,112666804,154690549,862812,0,3175,0,123099448,32747,39.68,4.93,128.9
1540,201,121890509,155327483,768052,0,2055,0,133242394,37828,39.62,4.96,128.9
1541,96,123679002,155961587,714030,454656,1778,888,139605812,59962,40.15,5.68,129.0
1542,625,148409205,184779908,1039161,57344,23640,112,141564359,31296,40.31,5.27,129.0
1543,9954,295590825,327448740,1549036,0,69845,0,250999967,80387,40.28,5.11,129.0
1544,319,109597538,156435161,869192,0,7187,0,124595952,51835,40.19,4.98,129.0
1545,109,122327691,164222393,875484,0,1698,0,114742244,33101,40.2,4.97,128.9
1546,97,136584878,192430190,890008,225280,1596,440,105102767,55386,40.32,5.52,129.0
1547,6214,280027410,288649826,1351070,0,165628,0,229975494,83495,40.28,5.21,129.0
1548,257,124700059,166376506,750722,0,37338,0,130515521,50711,40.26,5.16,129.0
1549,242,133300602,185555755,979449,0,5502,0,128990565,40970,40.25,5.01,129.0
1550,467,133022926,180723767,891766,0,3114,0,139044970,43755,40.21,5.03,128.9
1551,200,106559014,165652587,785276,253952,1165,496,105410248,62708,40.19,5.39,129.0
1552,205,177654916,189803979,1108383,0,62865,0,146489158,26539,40.25,5.23,129.0
