,LLC-store-misses,bytes,LLC-load-misses,cycles,LLC-stores,ref-cycles,instructions,LLC-loads,blocks,pkg_pwr,ram_pwr,power
1094,1060,110592,131865,339004595,159440,376148054,259821443,2924167,216,40.3,6.24,133.9
1095,16078,0,341317,449564640,186759,500467373,370805618,3719627,0,42.11,6.87,133.5
1096,7506,0,214242,313989010,138912,378579684,252413473,2969946,0,40.91,6.06,133.5
1097,6499,0,86951,285403408,126954,339434226,236247773,2636212,0,40.82,5.77,133.4
1098,2351,0,66309,258609550,106702,273638204,193338349,2028235,0,41.86,6.69,133.1
1099,7092,110592,160434,412782289,187242,460807450,308990612,3497668,216,41.57,6.5,133.0
1100,19989,0,262730,464992395,208070,532340183,403794008,4016037,0,41.39,5.9,133.1
1101,3230,0,179485,267924006,100251,299672849,225242819,2269051,0,42.58,6.83,133.0
1102,18356,0,228000,474736567,186051,480959389,326650917,3513407,0,40.81,6.3,133.1
1103,4547,0,103738,323615739,124732,351523886,233653696,2865393,0,40.35,5.77,133.0
1104,1241,110592,103868,408526205,182722,419517161,288600778,3341602,216,40.44,6.03,132.7
1105,24857,18685952,150097,478973281,223617,531488846,382682919,4082029,36496,42.56,7.02,132.5
1106,11942,0,152573,332414599,150257,366273319,230985430,2681810,0,42.82,7.35,132.8
1107,6012,0,295296,418346558,162639,468777839,323612986,3405607,0,42.35,7.09,133.1
1108,1849,0,180897,292343118,136522,320638622,209981065,2550971,0,42.8,6.74,133.3
1109,6254,253952,368974,406289977,169256,478465744,336786705,3470173,496,42.74,7.28,133.5
1110,13172,0,570465,389802276,155699,411934097,312700993,2993854,0,42.77,6.67,133.8
1111,2297,143360,290896,346760338,141578,375440970,263974548,2539186,280,42.78,7.16,133.9
1112,2968,0,294439,340513529,150953,390584842,273780450,2896982,0,42.88,6.72,134.2
1113,10032,0,176065,353667949,168460,383247720,257493850,2985308,0,42.93,7.24,134.2
1114,5736,425984,297465,427062119,165055,451181207,316476276,3195800,832,42.68,6.84,134.3
1115,19977,0,332628,399404341,219687,488532632,354780216,3296618,0,42.18,6.68,134.5
1116,6284,0,112052,311811385,156224,335135865,228000879,2404648,0,42.95,6.75,134.4
1117,18543,0,155650,498274502,227424,533454973,353986292,4171266,0,42.78,7.69,134.5
1118,3934,0,304149,363587076,144050,387521955,258739759,3047169,0,42.53,7.2,134.7
1119,8512,110592,250642,341994805,133503,379887045,275168038,2703171,216,42.37,7.24,134.8
1120,20154,0,298550,400497417,171758,451286267,347823060,3406423,0,42.83,7.85,134.9
1121,15634,0,189397,357261721,153049,375258976,260133581,2754970,0,42.7,7.14,135.2
1122,8747,0,230374,337291815,121907,368571143,249494385,2818893,0,42.55,7.77,135.2
