,LLC-load-misses,ref-cycles,bytes,LLC-store-misses,blocks,LLC-loads,instructions,cycles,LLC-stores,pkg_pwr,ram_pwr,power
289,2078819,2543440115,706781184,262082,1380432,14248778,2893755032,2474230349,972707,40.36,7.4,119.0
290,1055838,972126583,756424704,35690,1477392,4875407,1231803174,891688513,218636,40.27,7.15,127.5
291,390174,2205776003,757334016,68241,1479168,7120217,3705990067,2174648439,455374,37.67,6.84,133.0
292,413941,800508397,798752768,92005,1560064,5669153,665477578,726208940,374486,38.8,7.08,132.8
293,815939,1572512569,612626432,131693,1196536,8463261,1898684207,1463270128,480227,38.81,6.95,132.9
294,422230,1407364253,758697984,161355,1481832,5763373,1496173053,1390909742,632649,39.61,6.96,133.2
295,510668,1152381560,763510784,71348,1491232,6046603,1152049425,1105865399,371606,32.58,6.31,133.3
296,288422,521053570,747896832,4687,1460736,4059201,355923242,481046652,235963,32.7,6.3,132.8
297,126471,512872170,705429504,2100,1377792,4104565,340799587,480885678,238930,28.66,5.6,132.5
298,197650,655153484,0,22411,0,4472135,461473338,589791411,255197,28.62,5.66,132.4
299,71612,700312460,311296,2233,608,5761844,421238258,618947315,322091,26.59,5.31,132.4
300,7816,556279218,57344,165,112,4022705,331645721,479588693,221828,26.23,5.23,118.9
301,31723,491687525,28672,352,56,3910077,312419624,467925510,247162,28.79,5.26,118.8
302,34472,480672378,0,649,0,3600761,288631788,418126255,206982,25.49,5.55,107.4
303,562191,721320451,0,18351,0,4868798,568888262,574629100,297922,30.05,5.75,107.4
304,39922,474850585,397312,2407,776,3287925,288824953,399072200,204468,26.28,5.15,106.9
305,8415,631255518,0,4402,0,5180037,401944110,614749176,328614,26.84,5.15,101.0
