,LLC-stores,instructions,bytes,blocks,LLC-loads,LLC-load-misses,ref-cycles,cycles,LLC-store-misses,pkg_pwr,ram_pwr,power
309,92727,413081483,8036352,15696,1974841,41888,419562781,362649137,3312,40.05,6.08,131.8
310,111191,330660347,7622656,14888,1771388,131114,344121216,326360136,9024,40.06,6.32,131.9
311,73357,292442991,7598080,14840,1660758,47607,327059187,260999358,851,40.0,6.1,131.9
312,43494,259897912,8077312,15776,1362447,25369,297159393,245549956,1248,39.99,6.01,131.9
313,59671,258014268,7864320,15360,1260757,21731,278404548,248629091,1475,40.01,6.11,131.9
314,76553,342700036,8167424,15952,2321197,84244,397596181,339409280,1994,40.01,6.11,131.9
315,95955,326587089,8622080,16840,2053579,198534,389725799,308473067,16443,40.1,6.24,131.9
316,42390,273664575,8433664,16472,1522642,54094,302483118,275292327,1780,40.03,6.15,131.9
317,82367,279339449,8499200,16600,1504159,33309,309693244,282438360,1381,40.05,6.04,131.9
318,72386,292756612,8695808,16984,1819275,26476,342075202,280630341,998,40.02,6.07,131.9
319,81118,247373341,7995392,15616,1490936,17255,285978731,264297565,844,40.01,6.05,131.9
320,87895,316710366,7868416,15368,2116479,149946,392284026,283510938,8942,40.06,6.28,131.8
321,74145,242529094,8118272,15856,1169508,53983,293795969,238092647,2647,40.08,6.21,131.9
322,61494,380113466,8253440,16120,1942707,46689,402296805,360787087,1125,40.02,6.05,131.9
323,59004,248574963,8024064,15672,1273738,35814,279667064,235971186,1051,40.04,6.12,131.9
324,60493,236472136,8409088,16424,1359806,23028,260970493,230198339,715,40.02,6.11,131.9
325,76961,412951524,8724480,17040,2043650,165636,420694025,329204834,9745,40.04,6.25,131.8
326,73266,267591375,8720384,17032,1358504,48683,317540614,238299783,1271,40.02,6.12,131.9
327,60282,316530799,8241152,16096,1638067,50115,349721712,295975475,750,40.0,6.06,131.9
328,46065,314647734,8773632,17136,1475053,33547,368420027,232683376,794,39.98,6.07,131.8
329,67527,281451333,8544256,16688,1589424,22670,307741724,261439059,935,40.01,6.05,131.8
330,55653,317250433,8273920,16160,1977675,166281,375249230,306275929,13575,40.07,6.26,131.8
331,74654,288510410,8196096,16008,1579946,43719,320691267,295602333,1054,40.03,6.1,131.8
332,51781,258543887,9027584,17632,1657503,44008,341688365,225590199,643,40.02,6.0,131.8
333,52324,264015434,8028160,15680,1555416,21966,292877538,264596420,695,39.96,6.04,131.9
